First Name,Last Name,Email Address,Company,Connection,Position
Sarah,Lee,sarah.lee@gmail.com,Gibson-Larsen,Afraz Siddiqui,Technical Writer
Kimberly,Sanders,kimberly.sanders@hotmail.com,Bullock and Sons,Afraz Siddiqui,Software Engineer
Johnny,Snyder,johnny.snyder@hotmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Product Manager
Barbara,Cox,barbara.cox@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Data Analyst
Benjamin,Shea,benjamin.shea@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,CTO
John,Ortiz,john.ortiz@yahoo.com,Golden Group,Afraz Siddiqui,Sales Manager
Michael,Frey,michael.frey@yahoo.com,Graham-Kim,Afraz Siddiqui,UX Designer
Barry,Blackwell,barry.blackwell@yahoo.com,"Young, Greer and Thomas",Afraz Siddiqui,Software Engineer
Patrick,Collier,patrick.collier@yahoo.com,Perez Inc,Afraz Siddiqui,QA Engineer
Brent,Humphrey,brent.humphrey@hotmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Product Manager
Kenneth,Reid,kenneth.reid@gmail.com,Fields-Miller,Afraz Siddiqui,Support Engineer
Kevin,Glass,kevin.glass@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Product Manager
Larry,Mills,larry.mills@gmail.com,Smith-Howard,Afraz Siddiqui,QA Engineer
Matthew,Taylor,matthew.taylor@hotmail.com,Smith-Howard,Afraz Siddiqui,CTO
Stephanie,Smith,stephanie.smith@gmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Marketing Specialist
Shannon,Yu,shannon.yu@yahoo.com,Jones-Watson,Afraz Siddiqui,Technical Writer
Dennis,Sullivan,dennis.sullivan@yahoo.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,Technical Writer
David,Webb,david.webb@hotmail.com,Gibson-Larsen,Afraz Siddiqui,QA Engineer
Nicole,Wolfe,nicole.wolfe@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Support Engineer
Robert,Carroll,robert.carroll@gmail.com,Benjamin-Davis,Afraz Siddiqui,Support Engineer
Tyler,Evans,tyler.evans@gmail.com,Salazar-Carroll,Afraz Siddiqui,Support Engineer
Lacey,Cooper,lacey.cooper@yahoo.com,"Young, Greer and Thomas",Afraz Siddiqui,Support Engineer
Corey,Carrillo,corey.carrillo@hotmail.com,Salazar-Carroll,Afraz Siddiqui,Software Engineer
Robert,Wright,robert.wright@gmail.com,Foster-Donaldson,Afraz Siddiqui,Support Engineer
John,Graham,john.graham@gmail.com,Carlson-Evans,Afraz Siddiqui,Business Analyst
James,Willis,james.willis@gmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,UX Designer
Jeremy,Fry,jeremy.fry@hotmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Sales Manager
Mary,Williams,mary.williams@gmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Technical Writer
Jessica,Brown,jessica.brown@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Technical Writer
Jacqueline,Crosby,jacqueline.crosby@yahoo.com,Gibson-Larsen,Afraz Siddiqui,Support Engineer
Frederick,Nelson,frederick.nelson@gmail.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,Software Engineer
Lawrence,Black,lawrence.black@hotmail.com,Gibson-Larsen,Afraz Siddiqui,Sales Manager
Jennifer,Rice,jennifer.rice@yahoo.com,Smith-Howard,Afraz Siddiqui,Support Engineer
Daniel,Miller,daniel.miller@hotmail.com,Graham-Kim,Afraz Siddiqui,UX Designer
Thomas,Rogers,thomas.rogers@hotmail.com,Graham-Kim,Afraz Siddiqui,Product Manager
Wendy,Henry,wendy.henry@hotmail.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,DevOps Engineer
Kathy,Williams,kathy.williams@gmail.com,Bullock and Sons,Afraz Siddiqui,Sales Manager
Michael,Barton,michael.barton@gmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Product Manager
Jennifer,Richardson,jennifer.richardson@yahoo.com,Gibson-Larsen,Afraz Siddiqui,Marketing Specialist
Carl,Gross,carl.gross@hotmail.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,CTO
Jose,Hooper,jose.hooper@yahoo.com,Bullock and Sons,Afraz Siddiqui,Sales Manager
Jacqueline,Chang,jacqueline.chang@hotmail.com,Benjamin-Davis,Afraz Siddiqui,Technical Writer
Victoria,Gonzalez,victoria.gonzalez@hotmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,DevOps Engineer
Melissa,Galloway,melissa.galloway@gmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,CTO
Abigail,Hickman,abigail.hickman@gmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Business Analyst
Lindsey,Davis,lindsey.davis@gmail.com,Fields-Miller,Afraz Siddiqui,QA Engineer
Norman,Quinn,norman.quinn@hotmail.com,Benjamin-Davis,Afraz Siddiqui,Business Analyst
Henry,Miller,henry.miller@gmail.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,Data Analyst
David,Cantu,david.cantu@yahoo.com,Carlson-Evans,Afraz Siddiqui,QA Engineer
Martin,Carroll,martin.carroll@hotmail.com,Graham-Kim,Afraz Siddiqui,Product Manager
Ashley,Mcgee,ashley.mcgee@yahoo.com,"Luna, Garcia and Conway",Afraz Siddiqui,Technical Writer
Tracy,Melendez,tracy.melendez@hotmail.com,Graham-Kim,Afraz Siddiqui,DevOps Engineer
Mark,Ellis,mark.ellis@yahoo.com,Salazar-Carroll,Afraz Siddiqui,UX Designer
Kelly,Manning,kelly.manning@hotmail.com,Fields-Miller,Afraz Siddiqui,Business Analyst
Austin,Aguilar,austin.aguilar@yahoo.com,Foster-Donaldson,Afraz Siddiqui,Marketing Specialist
Susan,Hudson,susan.hudson@hotmail.com,Perez Inc,Afraz Siddiqui,Technical Writer
Crystal,Villarreal,crystal.villarreal@gmail.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,UX Designer
Beth,Alexander,beth.alexander@yahoo.com,"Young, Greer and Thomas",Afraz Siddiqui,Business Analyst
Ryan,Martin,ryan.martin@gmail.com,Foster-Donaldson,Afraz Siddiqui,Marketing Specialist
David,Russell,david.russell@yahoo.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Business Analyst
Benjamin,Harrison,benjamin.harrison@hotmail.com,Golden Group,Afraz Siddiqui,Marketing Specialist
Natasha,Ramirez,natasha.ramirez@gmail.com,Ryan-Sellers,Afraz Siddiqui,Sales Manager
Thomas,Harris,thomas.harris@yahoo.com,Foster-Donaldson,Afraz Siddiqui,Data Analyst
Bethany,Peters,bethany.peters@yahoo.com,Jones-Watson,Afraz Siddiqui,Support Engineer
Paul,Palmer,paul.palmer@gmail.com,Ryan-Sellers,Afraz Siddiqui,Technical Writer
Natalie,Fischer,natalie.fischer@yahoo.com,Fields-Miller,Afraz Siddiqui,QA Engineer
Thomas,Simmons,thomas.simmons@gmail.com,Jones-Watson,Afraz Siddiqui,QA Engineer
Michelle,Rodgers,michelle.rodgers@gmail.com,Foster-Donaldson,Afraz Siddiqui,Software Engineer
Harold,Swanson,harold.swanson@hotmail.com,Gibson-Larsen,Afraz Siddiqui,Data Analyst
Curtis,Munoz,curtis.munoz@hotmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Marketing Specialist
Heather,Sanford,heather.sanford@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Software Engineer
Jessica,Richardson,jessica.richardson@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Software Engineer
Deborah,Gutierrez,deborah.gutierrez@hotmail.com,Ryan-Sellers,Afraz Siddiqui,Support Engineer
Brent,Mills,brent.mills@yahoo.com,Graham-Kim,Afraz Siddiqui,Support Engineer
Charles,Graham,charles.graham@gmail.com,Foster-Donaldson,Afraz Siddiqui,Data Analyst
Douglas,Garrett,douglas.garrett@yahoo.com,Bullock and Sons,Afraz Siddiqui,QA Engineer
Troy,Huffman,troy.huffman@gmail.com,Golden Group,Afraz Siddiqui,Support Engineer
Michael,Harris,michael.harris@gmail.com,Foster-Donaldson,Afraz Siddiqui,UX Designer
Jill,Robinson,jill.robinson@gmail.com,Perez Inc,Afraz Siddiqui,UX Designer
Jaime,Willis,jaime.willis@yahoo.com,Ryan-Sellers,Afraz Siddiqui,DevOps Engineer
Jay,Gomez,jay.gomez@gmail.com,Perez Inc,Afraz Siddiqui,Support Engineer
Daniel,Hess,daniel.hess@gmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Data Analyst
Jamie,Rodriguez,jamie.rodriguez@yahoo.com,Carlson-Evans,Afraz Siddiqui,Business Analyst
Noah,Jackson,noah.jackson@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Product Manager
Phillip,Smith,phillip.smith@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Software Engineer
Keith,Berry,keith.berry@yahoo.com,Graham-Kim,Afraz Siddiqui,Marketing Specialist
Brittney,Hernandez,brittney.hernandez@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Software Engineer
Ricardo,Lewis,ricardo.lewis@yahoo.com,Benjamin-Davis,Afraz Siddiqui,UX Designer
Travis,Anderson,travis.anderson@gmail.com,Bullock and Sons,Afraz Siddiqui,CTO
Brenda,Cruz,brenda.cruz@gmail.com,Fields-Miller,Afraz Siddiqui,Business Analyst
Laura,Parker,laura.parker@yahoo.com,Gibson-Larsen,Afraz Siddiqui,Sales Manager
Jessica,Noble,jessica.noble@gmail.com,Smith-Howard,Afraz Siddiqui,Product Manager
Christopher,White,christopher.white@hotmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Software Engineer
Amanda,Spencer,amanda.spencer@hotmail.com,Gibson-Larsen,Afraz Siddiqui,Technical Writer
Christy,Cain,christy.cain@yahoo.com,Smith-Howard,Afraz Siddiqui,Software Engineer
Shane,Giles,shane.giles@gmail.com,Benjamin-Davis,Afraz Siddiqui,Product Manager
Rhonda,Pacheco,rhonda.pacheco@hotmail.com,Jones-Watson,Afraz Siddiqui,Software Engineer
Joshua,Blake,joshua.blake@yahoo.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,CTO
Kelsey,Lopez,kelsey.lopez@yahoo.com,Foster-Donaldson,Afraz Siddiqui,Business Analyst
Kyle,Johnson,kyle.johnson@hotmail.com,Fields-Miller,Afraz Siddiqui,DevOps Engineer
Dana,Gregory,dana.gregory@gmail.com,Smith-Howard,Afraz Siddiqui,DevOps Engineer
Justin,Crawford,justin.crawford@gmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Marketing Specialist
Tara,Patton,tara.patton@yahoo.com,"Young, Greer and Thomas",Afraz Siddiqui,Software Engineer
Angela,Edwards,angela.edwards@hotmail.com,Golden Group,Afraz Siddiqui,Technical Writer
Jennifer,Gonzalez,jennifer.gonzalez@hotmail.com,Perez Inc,Afraz Siddiqui,Business Analyst
Ariel,Solis,ariel.solis@gmail.com,Bullock and Sons,Afraz Siddiqui,CTO
Howard,Mendez,howard.mendez@gmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Product Manager
Michael,Brown,michael.brown@hotmail.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,Support Engineer
Manuel,Coleman,manuel.coleman@hotmail.com,Ryan-Sellers,Afraz Siddiqui,UX Designer
Kaitlyn,Sullivan,kaitlyn.sullivan@hotmail.com,Smith-Howard,Afraz Siddiqui,DevOps Engineer
Michael,Hahn,michael.hahn@gmail.com,Graham-Kim,Afraz Siddiqui,Support Engineer
Jeffrey,Jones,jeffrey.jones@gmail.com,Bullock and Sons,Afraz Siddiqui,Sales Manager
Crystal,Rivas,crystal.rivas@gmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,CTO
Melissa,Mckenzie,melissa.mckenzie@yahoo.com,Graham-Kim,Afraz Siddiqui,Support Engineer
Kyle,Parker,kyle.parker@yahoo.com,"Young, Greer and Thomas",Afraz Siddiqui,CTO
Christopher,Schultz,christopher.schultz@gmail.com,"Young, Greer and Thomas",Afraz Siddiqui,Business Analyst
Wayne,Edwards,wayne.edwards@hotmail.com,Salazar-Carroll,Afraz Siddiqui,Support Engineer
David,Whitney,david.whitney@yahoo.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,Product Manager
Grace,Romero,grace.romero@yahoo.com,Jones-Watson,Afraz Siddiqui,DevOps Engineer
Shannon,Mejia,shannon.mejia@gmail.com,Jones-Watson,Afraz Siddiqui,Product Manager
Walter,Joseph,walter.joseph@hotmail.com,Golden Group,Afraz Siddiqui,UX Designer
Deborah,Abbott,deborah.abbott@yahoo.com,Foster-Donaldson,Afraz Siddiqui,Marketing Specialist
Kaitlyn,Nguyen,kaitlyn.nguyen@hotmail.com,Perez Inc,Afraz Siddiqui,QA Engineer
Roy,Hall,roy.hall@gmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Software Engineer
Lisa,Frost,lisa.frost@yahoo.com,Ryan-Sellers,Afraz Siddiqui,Marketing Specialist
Kenneth,Brown,kenneth.brown@yahoo.com,Jones-Watson,Afraz Siddiqui,DevOps Engineer
Lucas,Galloway,lucas.galloway@hotmail.com,Gibson-Larsen,Afraz Siddiqui,Marketing Specialist
Kenneth,Mathis,kenneth.mathis@hotmail.com,Fields-Miller,Afraz Siddiqui,Support Engineer
Aaron,Lopez,aaron.lopez@gmail.com,"Young, Greer and Thomas",Afraz Siddiqui,Product Manager
Colton,Vance,colton.vance@gmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Software Engineer
Anthony,Saunders,anthony.saunders@yahoo.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,Software Engineer
Jason,Tucker,jason.tucker@gmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Software Engineer
Ryan,Scott,ryan.scott@gmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Business Analyst
Julie,Williams,julie.williams@yahoo.com,Carlson-Evans,Afraz Siddiqui,QA Engineer
Heidi,Fisher,heidi.fisher@yahoo.com,"Luna, Garcia and Conway",Afraz Siddiqui,Software Engineer
Carolyn,Sweeney,carolyn.sweeney@hotmail.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,UX Designer
Joseph,Blair,joseph.blair@gmail.com,Fields-Miller,Afraz Siddiqui,QA Engineer
Benjamin,Carpenter,benjamin.carpenter@yahoo.com,Fields-Miller,Afraz Siddiqui,Data Analyst
Sarah,West,sarah.west@yahoo.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,DevOps Engineer
Carolyn,Phillips,carolyn.phillips@gmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Product Manager
Derek,Garza,derek.garza@yahoo.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,Technical Writer
John,Smith,john.smith@hotmail.com,Ryan-Sellers,Afraz Siddiqui,QA Engineer
Michelle,Ross,michelle.ross@gmail.com,Carlson-Evans,Afraz Siddiqui,Product Manager
Michael,Ross,michael.ross@yahoo.com,Bullock and Sons,Afraz Siddiqui,UX Designer
Jessica,Perry,jessica.perry@gmail.com,Ryan-Sellers,Afraz Siddiqui,Marketing Specialist
Candice,Stone,candice.stone@hotmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,DevOps Engineer
Lauren,Lucas,lauren.lucas@yahoo.com,Gibson-Larsen,Afraz Siddiqui,Business Analyst
Joseph,Oneal,joseph.oneal@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Marketing Specialist
Mark,Martinez,mark.martinez@gmail.com,Smith-Howard,Afraz Siddiqui,Sales Manager
Sheila,Lee,sheila.lee@hotmail.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,Technical Writer
Charles,Fuentes,charles.fuentes@gmail.com,"Dickerson, Gross and Alvarado",Afraz Siddiqui,Marketing Specialist
Richard,Flores,richard.flores@gmail.com,Perez Inc,Afraz Siddiqui,DevOps Engineer
Anne,Smith,anne.smith@yahoo.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Data Analyst
Kari,Williams,kari.williams@yahoo.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Support Engineer
Paul,Oliver,paul.oliver@hotmail.com,Gibson-Larsen,Afraz Siddiqui,Marketing Specialist
John,Floyd,john.floyd@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,UX Designer
John,Schmitt,john.schmitt@yahoo.com,Gibson-Larsen,Afraz Siddiqui,Data Analyst
Crystal,Miller,crystal.miller@gmail.com,Carlson-Evans,Afraz Siddiqui,Marketing Specialist
Alfred,Peters,alfred.peters@gmail.com,"Luna, Garcia and Conway",Afraz Siddiqui,Product Manager
Gina,Delgado,gina.delgado@yahoo.com,Fields-Miller,Afraz Siddiqui,Support Engineer
Robin,Martinez,robin.martinez@hotmail.com,Golden Group,Afraz Siddiqui,Data Analyst
Theresa,Arnold,theresa.arnold@yahoo.com,Fields-Miller,Afraz Siddiqui,Data Analyst
Leslie,Clark,leslie.clark@hotmail.com,Smith-Howard,Afraz Siddiqui,Software Engineer
Joseph,Myers,joseph.myers@gmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Data Analyst
Roberto,Walker,roberto.walker@hotmail.com,Salazar-Carroll,Afraz Siddiqui,Support Engineer
Teresa,Martinez,teresa.martinez@gmail.com,Graham-Kim,Afraz Siddiqui,Business Analyst
Mckenzie,Mayer,mckenzie.mayer@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,QA Engineer
Crystal,Hardy,crystal.hardy@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Data Analyst
Christy,Morales,christy.morales@gmail.com,Fields-Miller,Afraz Siddiqui,Sales Manager
Rhonda,Hayes,rhonda.hayes@yahoo.com,Gibson-Larsen,Afraz Siddiqui,Data Analyst
Angela,Yang,angela.yang@hotmail.com,Carlson-Evans,Afraz Siddiqui,Technical Writer
Joshua,Hampton,joshua.hampton@hotmail.com,Ryan-Sellers,Afraz Siddiqui,Data Analyst
Garrett,Hawkins,garrett.hawkins@gmail.com,Ryan-Sellers,Afraz Siddiqui,Software Engineer
Steven,Clark,steven.clark@yahoo.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Business Analyst
Elizabeth,Garner,elizabeth.garner@gmail.com,Fields-Miller,Afraz Siddiqui,Product Manager
Julia,Smith,julia.smith@gmail.com,Golden Group,Afraz Siddiqui,Technical Writer
Nathaniel,Thornton,nathaniel.thornton@hotmail.com,Golden Group,Afraz Siddiqui,Business Analyst
Tracey,Reeves,tracey.reeves@hotmail.com,Foster-Donaldson,Afraz Siddiqui,DevOps Engineer
Adam,Santos,adam.santos@gmail.com,Graham-Kim,Afraz Siddiqui,Software Engineer
Joanna,Hernandez,joanna.hernandez@hotmail.com,"Young, Greer and Thomas",Afraz Siddiqui,Marketing Specialist
Michelle,Shaw,michelle.shaw@yahoo.com,"Luna, Garcia and Conway",Afraz Siddiqui,Product Manager
Jessica,Hall,jessica.hall@gmail.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,Marketing Specialist
Steven,Mueller,steven.mueller@hotmail.com,Ryan-Sellers,Afraz Siddiqui,Business Analyst
Nathan,Beard,nathan.beard@hotmail.com,Graham-Kim,Afraz Siddiqui,Sales Manager
Allison,Henson,allison.henson@hotmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Technical Writer
Alexis,Chen,alexis.chen@gmail.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Product Manager
Wendy,Sanchez,wendy.sanchez@gmail.com,"Robinson, Snyder and Ryan",Afraz Siddiqui,Product Manager
Edward,Barnett,edward.barnett@gmail.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,DevOps Engineer
David,Lawson,david.lawson@yahoo.com,Graham-Kim,Afraz Siddiqui,Product Manager
Victoria,Taylor,victoria.taylor@gmail.com,Bullock and Sons,Afraz Siddiqui,Sales Manager
Scott,Hurst,scott.hurst@hotmail.com,Gibson-Larsen,Afraz Siddiqui,CTO
Timothy,Escobar,timothy.escobar@hotmail.com,Bullock and Sons,Afraz Siddiqui,Business Analyst
Andrew,Chavez,andrew.chavez@yahoo.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,DevOps Engineer
Brittany,Peck,brittany.peck@hotmail.com,Foster-Donaldson,Afraz Siddiqui,Data Analyst
Alan,Thompson,alan.thompson@hotmail.com,Bullock and Sons,Afraz Siddiqui,Support Engineer
Christine,Adams,christine.adams@hotmail.com,Gibson-Larsen,Afraz Siddiqui,Product Manager
Tyrone,Powers,tyrone.powers@yahoo.com,Golden Group,Afraz Siddiqui,CTO
Melvin,King,melvin.king@hotmail.com,Smith-Howard,Afraz Siddiqui,DevOps Engineer
Robert,Hughes,robert.hughes@yahoo.com,Bullock and Sons,Afraz Siddiqui,Support Engineer
Cheyenne,Atkins,cheyenne.atkins@hotmail.com,"Young, Greer and Thomas",Afraz Siddiqui,Marketing Specialist
Karen,Torres,karen.torres@gmail.com,Jones-Watson,Afraz Siddiqui,UX Designer
William,Rogers,william.rogers@yahoo.com,"Luna, Garcia and Conway",Afraz Siddiqui,Software Engineer
David,Roberts,david.roberts@gmail.com,Ryan-Sellers,Afraz Siddiqui,Data Analyst
Courtney,Johnson,courtney.johnson@hotmail.com,Foster-Donaldson,Afraz Siddiqui,UX Designer
Hector,Thomas,hector.thomas@yahoo.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,UX Designer
Robin,Johnson,robin.johnson@hotmail.com,"Garcia, Thompson and Ramirez",Afraz Siddiqui,Marketing Specialist
Chad,Brown,chad.brown@yahoo.com,Gibson-Larsen,Afraz Siddiqui,Product Manager
Lori,Yates,lori.yates@yahoo.com,Perez Inc,Afraz Siddiqui,CTO
Ana,Davis,ana.davis@yahoo.com,"Taylor, Maldonado and Butler",Afraz Siddiqui,Business Analyst
Phyllis,Moreno,phyllis.moreno@hotmail.com,Gibson-Larsen,Afraz Siddiqui,Software Engineer
Arthur,Boyd,arthur.boyd@hotmail.com,Jones-Watson,Afraz Siddiqui,Business Analyst
Tamara,Anthony,tamara.anthony@yahoo.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,QA Engineer
Bryan,Smith,bryan.smith@hotmail.com,Perez Inc,Afraz Siddiqui,QA Engineer
Vincent,Stewart,vincent.stewart@yahoo.com,Graham-Kim,Afraz Siddiqui,UX Designer
Kenneth,Ramirez,kenneth.ramirez@hotmail.com,Graham-Kim,Afraz Siddiqui,QA Engineer
Mary,Oliver,mary.oliver@yahoo.com,Carlson-Evans,Afraz Siddiqui,Sales Manager
Selena,Chambers,selena.chambers@gmail.com,"Young, Greer and Thomas",Afraz Siddiqui,CTO
Jennifer,Nguyen,jennifer.nguyen@gmail.com,"Fernandez, Smith and Mccarty",Afraz Siddiqui,UX Designer
Joseph,Smith,joseph.smith@yahoo.com,Salazar-Carroll,Afraz Siddiqui,Business Analyst
Samantha,Jensen,samantha.jensen@yahoo.com,Jones-Watson,Afraz Siddiqui,Sales Manager
Blake,Wagner,blake.wagner@hotmail.com,Jones-Watson,Afraz Siddiqui,UX Designer
Paige,Taylor,paige.taylor@hotmail.com,Fields-Miller,Afraz Siddiqui,CTO
